code,name,requires,evolves_to,type,HP,stage,count,pack,subpack,illustrator,rarity,generation,pokedex_number,romaji_name,japanese_name,rarity_num
A1 001,Bulbasaur,None,A1 002;A3 211,Grass,70.0,Basic,1,Genetic Apex,Mewtwo,Narumi Sato,◇,1.0,1.0,Fushigidane,フシギダネ,1.0
A1 002,Ivysaur,A1 001;A1 227;A3 210;PA 023,A1 003;A1 004;A1 251;A3 212;A3 230;PA 018,Grass,90.0,Stage 1,0,Genetic Apex,Mewtwo,Kurata So,◇◇,1.0,2.0,Fushigisou,フシギソウ,2.0
A1 003,Venusaur,A1 001;A1 002;A1 227;A3 210;A3 211;PA 023,None,Grass,160.0,Stage 2,0,Genetic Apex,Mewtwo,Ryota Murayama,◇◇◇,1.0,3.0,Fushigibana,フシギバナ,3.0
A1 004,Venusaur ex,A1 001;A1 002;A1 227;A3 210;A3 211;PA 023,None,Grass,190.0,Stage 2,0,Genetic Apex,Mewtwo,PLANETA CG Works,◇◇◇◇,1.0,3.0,Fushigibana,フシギバナ,4.0
A1 005,Caterpie,None,A1 006,Grass,50.0,Basic,1,Genetic Apex,Pikachu,Miki Tanaka,◇,1.0,10.0,Caterpie,キャタピー,1.0
A1 006,Metapod,A1 005,A1 007;PA 013,Grass,80.0,Stage 1,0,Genetic Apex,Pikachu,Yuka Morii,◇,1.0,11.0,Transel,トランセル,1.0
A1 007,Butterfree,A1 005;A1 006,None,Grass,120.0,Stage 2,0,Genetic Apex,Pikachu,Shin Nagasawa,◇◇◇,1.0,12.0,Butterfree,バタフリー,3.0
A1 008,Weedle,None,A1 009;A2b 002;A2b 098,Grass,50.0,Basic,0,Genetic Apex,Mewtwo,Hajime Kusajima,◇,1.0,13.0,Beedle,ビードル,1.0
A1 009,Kakuna,A1 008;A2b 001;A2b 097,A1 010;A2b 003;A2b 079;A2b 107,Grass,80.0,Stage 1,2,Genetic Apex,Mewtwo,miki kudo,◇,1.0,14.0,Cocoon,コクーン,1.0
A1 010,Beedrill,A1 008;A1 009;A2b 001;A2b 002;A2b 097;A2b 098,None,Grass,120.0,Stage 2,1,Genetic Apex,Mewtwo,You Iribi,◇◇◇,1.0,15.0,Spear,スピアー,3.0
A1 011,Oddish,None,A1 012;A1 228;A2 002,Grass,60.0,Basic,0,Genetic Apex,Charizard,HYOGONOSUKE,◇,1.0,43.0,Nazonokusa,ナゾノクサ,1.0
A1 012,Gloom,A1 011;A2 001,A1 013;A2 003,Grass,80.0,Stage 1,0,Genetic Apex,Charizard,Anesaki Dynamic,◇◇,1.0,44.0,Kusaihana,クサイハナ,2.0
